
📈 Progress:
2025-05-03 21:39:46 | Job 177 | Files: 2155  | Dirs: 4523  | Data: 58786.522 GB | Δt:  600 s | Speed: 1965.903 MB/s
2025-05-03 21:49:46 | Job 177 | Files: 2155  | Dirs: 4523  | Data: 59924.247 GB | Δt:  600 s | Speed: 1941.717 MB/s
2025-05-03 21:59:46 | Job 177 | Files: 2155  | Dirs: 4523  | Data: 60957.922 GB | Δt:  600 s | Speed: 1764.138 MB/s
2025-05-03 22:09:46 | Job 177 | Files: 2155  | Dirs: 4523  | Data: 61951.134 GB | Δt:  600 s | Speed: 1695.083 MB/s
2025-05-03 22:19:46 | Job 177 | Files: 2155  | Dirs: 4523  | Data: 62943.179 GB | Δt:  600 s | Speed: 1693.090 MB/s
2025-05-03 22:29:46 | Job 177 | Files: 2155  | Dirs: 4523  | Data: 63939.646 GB | Δt:  600 s | Speed: 1700.637 MB/s
2025-05-03 22:39:47 | Job 177 | Files: 2155  | Dirs: 4523  | Data: 64936.410 GB | Δt:  601 s | Speed: 1698.313 MB/s
2025-05-03 22:49:47 | Job 177 | Files: 2155  | Dirs: 4523  | Data: 65937.599 GB | Δt:  600 s | Speed: 1708.697 MB/s
2025-05-03 22:59:47 | Job 177 | Files: 2155  | Dirs: 4523  | Data: 66929.922 GB | Δt:  600 s | Speed: 1693.563 MB/s
2025-05-03 23:09:47 | Job 177 | Files: 2155  | Dirs: 4523  | Data: 68011.842 GB | Δt:  600 s | Speed: 1846.477 MB/s
2025-05-03 23:19:47 | Job 177 | Files: 2155  | Dirs: 4523  | Data: 69084.822 GB | Δt:  600 s | Speed: 1831.220 MB/s
2025-05-03 23:29:47 | Job 177 | Files: 2155  | Dirs: 4523  | Data: 70177.689 GB | Δt:  600 s | Speed: 1865.160 MB/s
2025-05-03 23:39:47 | Job 177 | Files: 2155  | Dirs: 4523  | Data: 71270.619 GB | Δt:  600 s | Speed: 1865.267 MB/s
2025-05-03 23:49:47 | Job 177 | Files: 2155  | Dirs: 4523  | Data: 72369.722 GB | Δt:  600 s | Speed: 1875.803 MB/s
2025-05-03 23:59:47 | Job 177 | Files: 2155  | Dirs: 4523  | Data: 73280.257 GB | Δt:  600 s | Speed: 1553.978 MB/s
2025-05-04 00:09:48 | Job 177 | Files: 2155  | Dirs: 4523  | Data: 74191.897 GB | Δt:  601 s | Speed: 1553.278 MB/s
2025-05-04 00:19:48 | Job 177 | Files: 2155  | Dirs: 4523  | Data: 75099.428 GB | Δt:  600 s | Speed: 1548.853 MB/s
2025-05-04 00:29:48 | Job 177 | Files: 2155  | Dirs: 4523  | Data: 76065.522 GB | Δt:  600 s | Speed: 1648.800 MB/s
2025-05-04 00:39:48 | Job 177 | Files: 2155  | Dirs: 4523  | Data: 77062.837 GB | Δt:  600 s | Speed: 1702.083 MB/s
2025-05-04 00:49:48 | Job 177 | Files: 2155  | Dirs: 4523  | Data: 78082.800 GB | Δt:  600 s | Speed: 1740.737 MB/s
2025-05-04 00:59:48 | Job 177 | Files: 2155  | Dirs: 4523  | Data: 79107.997 GB | Δt:  600 s | Speed: 1749.670 MB/s
2025-05-04 01:09:48 | Job 177 | Files: 2155  | Dirs: 4523  | Data: 80131.587 GB | Δt:  600 s | Speed: 1746.927 MB/s
2025-05-04 01:19:48 | Job 177 | Files: 2155  | Dirs: 4523  | Data: 81160.358 GB | Δt:  600 s | Speed: 1755.770 MB/s
2025-05-04 01:29:48 | Job 177 | Files: 2155  | Dirs: 4523  | Data: 82190.268 GB | Δt:  600 s | Speed: 1757.713 MB/s
2025-05-04 01:39:49 | Job 177 | Files: 2155  | Dirs: 4523  | Data: 83228.208 GB | Δt:  601 s | Speed: 1768.469 MB/s
2025-05-04 01:49:49 | Job 177 | Files: 2155  | Dirs: 4523  | Data: 84113.818 GB | Δt:  600 s | Speed: 1511.442 MB/s
2025-05-04 01:59:49 | Job 177 | Files: 2155  | Dirs: 4523  | Data: 84895.830 GB | Δt:  600 s | Speed: 1334.633 MB/s
2025-05-04 02:09:49 | Job 177 | Files: 2155  | Dirs: 4523  | Data: 85654.611 GB | Δt:  600 s | Speed: 1294.987 MB/s
2025-05-04 02:19:49 | Job 177 | Files: 2155  | Dirs: 4523  | Data: 86172.926 GB | Δt:  600 s | Speed:  884.590 MB/s
2025-05-04 02:29:49 | Job 177 | Files: 2155  | Dirs: 4523  | Data: 86693.015 GB | Δt:  600 s | Speed:  887.620 MB/s
2025-05-04 02:39:49 | Job 177 | Files: 2155  | Dirs: 4523  | Data: 87222.099 GB | Δt:  600 s | Speed:  902.970 MB/s
2025-05-04 02:49:49 | Job 177 | Files: 2155  | Dirs: 4523  | Data: 87753.148 GB | Δt:  600 s | Speed:  906.323 MB/s
2025-05-04 02:59:50 | Job 177 | Files: 2155  | Dirs: 4523  | Data: 88284.851 GB | Δt:  601 s | Speed:  905.930 MB/s
2025-05-04 03:09:50 | Job 177 | Files: 2155  | Dirs: 4523  | Data: 88809.994 GB | Δt:  600 s | Speed:  896.243 MB/s
2025-05-04 03:19:50 | Job 177 | Files: 2155  | Dirs: 4523  | Data: 89348.711 GB | Δt:  600 s | Speed:  919.410 MB/s
2025-05-04 03:29:50 | Job 177 | Files: 2155  | Dirs: 4523  | Data: 89888.779 GB | Δt:  600 s | Speed:  921.717 MB/s
2025-05-04 03:39:50 | Job 177 | Files: 2155  | Dirs: 4523  | Data: 90428.756 GB | Δt:  600 s | Speed:  921.560 MB/s
2025-05-04 03:49:50 | Job 177 | Files: 2155  | Dirs: 4523  | Data: 90961.338 GB | Δt:  600 s | Speed:  908.940 MB/s
